States,x,y
Himachal Pradesh,-86,177
Punjab,-131,159
Haryana,-110.0,132.0
Uttarakhand,-66.0,150.0
Uttar Pradesh,-68.0,101.0
Bihar,58.0,64.0
Rajasthan,-156.0,111.0
Chhattisgarh,3.0,-10.0
Madhya Pradesh,-123.0,10.0
Maharashtra,-141.0,-50.0
Gujarat,-197.0,17.0
Karnataka,-131.0,-148.0
Kerala,-112.0,-218.0
Telangana,-53.0,-81.0
Andra Pradesh,-55.0,-133.0
Tamil Nadu,-68.0,-207.0
Odisha,34.0,-41.0
Jharkhand,42.0,31.0
West Bengal,66.0,21.0
Sikkim,98.0,106.0
Meghalaya,128.0,66.0
Tripura,153.0,32.0
Nagaland,199.0,82.0
Mizoram,176.0,22.0
Assam,142.0,84.0
Arunachal Pradesh,190.0,130.0
Manipur,193.0,59.0
Goa,-149.0,-128.0